rpm,v_ms,thrust_N,torque_Nm
5000.0,16.156026,1.063000,0.043000
5000.0,17.054576,0.989000,0.041000
5000.0,17.953126,0.907000,0.039000
5000.0,18.851677,0.818000,0.037000
5000.0,19.745757,0.723000,0.034000
5000.0,20.644307,0.624000,0.031000
5000.0,21.542858,0.522000,0.027000
5000.0,22.441408,0.418000,0.024000
5000.0,23.339958,0.313000,0.020000
5000.0,24.234038,0.208000,0.016000
5000.0,25.132589,0.103000,0.012000
5000.0,26.031139,0.001000,0.007000
6000.0,0.000000,1.843000,0.044000
6000.0,1.077366,1.839000,0.045000
6000.0,2.159203,1.837000,0.045000
6000.0,3.236570,1.836000,0.046000
6000.0,4.313936,1.837000,0.046000
6000.0,5.395773,1.839000,0.047000
6000.0,6.473139,1.842000,0.048000
6000.0,7.554976,1.846000,0.050000
6000.0,8.632342,1.849000,0.051000
6000.0,9.709709,1.851000,0.053000
6000.0,10.791546,1.851000,0.055000
6000.0,11.868912,1.847000,0.057000
6000.0,12.946278,1.837000,0.058000
6000.0,14.028115,1.820000,0.060000
6000.0,15.105482,1.792000,0.061000
6000.0,16.187318,1.753000,0.062000
6000.0,17.264685,1.697000,0.063000
6000.0,18.342051,1.624000,0.062000
6000.0,19.423888,1.533000,0.061000
6000.0,20.501254,1.426000,0.059000
6000.0,21.578621,1.307000,0.056000
6000.0,22.660458,1.178000,0.052000
6000.0,23.737824,1.041000,0.048000
6000.0,24.819661,0.898000,0.044000
6000.0,25.897027,0.751000,0.039000
6000.0,26.974394,0.601000,0.033000
6000.0,28.056230,0.450000,0.028000
6000.0,29.133597,0.298000,0.022000
6000.0,30.210963,0.148000,0.016000
6000.0,31.292800,0.000000,0.010000
7000.0,0.000000,2.510000,0.060000
7000.0,1.260653,2.505000,0.060000
7000.0,2.521306,2.502000,0.061000
7000.0,3.781958,2.502000,0.062000
7000.0,5.042611,2.503000,0.063000
7000.0,6.303264,2.506000,0.064000
7000.0,7.563917,2.510000,0.066000
7000.0,8.824570,2.515000,0.067000
7000.0,10.085222,2.520000,0.069000
7000.0,11.345875,2.523000,0.072000
7000.0,12.606528,2.523000,0.074000
7000.0,13.867181,2.518000,0.077000
7000.0,15.127834,2.505000,0.079000
7000.0,16.388486,2.482000,0.081000
7000.0,17.649139,2.445000,0.083000
7000.0,18.909792,2.390000,0.085000
7000.0,20.170445,2.314000,0.085000
7000.0,21.431098,2.214000,0.085000
7000.0,22.691750,2.090000,0.083000
7000.0,23.952403,1.944000,0.080000
7000.0,25.213056,1.781000,0.076000
7000.0,26.473709,1.604000,0.071000
7000.0,27.734362,1.417000,0.065000
7000.0,28.995014,1.223000,0.059000
7000.0,30.255667,1.022000,0.052000
7000.0,31.516320,0.818000,0.045000
7000.0,32.776973,0.611000,0.037000
7000.0,34.037626,0.405000,0.029000
7000.0,35.298278,0.200000,0.021000
7000.0,36.558931,0.000000,0.013000
8000.0,0.000000,3.281000,0.078000
8000.0,1.443939,3.274000,0.078000
8000.0,2.883408,3.271000,0.079000
8000.0,4.327347,3.270000,0.080000
8000.0,5.766816,3.272000,0.081000
8000.0,7.210755,3.276000,0.083000
8000.0,8.654694,3.282000,0.085000
8000.0,10.094163,3.289000,0.088000
8000.0,11.538102,3.296000,0.090000
8000.0,12.977571,3.300000,0.093000
8000.0,14.421510,3.301000,0.096000
8000.0,15.865450,3.294000,0.100000
8000.0,17.304918,3.278000,0.103000
8000.0,18.748858,3.248000,0.106000
8000.0,20.188326,3.200000,0.108000
8000.0,21.632266,3.129000,0.110000
8000.0,23.076205,3.029000,0.111000
8000.0,24.515674,2.898000,0.110000
8000.0,25.959613,2.735000,0.108000
8000.0,27.399082,2.544000,0.104000
8000.0,28.843021,2.331000,0.099000
8000.0,30.286960,2.099000,0.093000
8000.0,31.726429,1.854000,0.085000
8000.0,33.170368,1.599000,0.077000
8000.0,34.609837,1.336000,0.068000
8000.0,36.053776,1.069000,0.058000
8000.0,37.497715,0.799000,0.048000
8000.0,38.937184,0.529000,0.038000
8000.0,40.381123,0.262000,0.027000
8000.0,41.820592,0.001000,0.016000
